UUID        = 49904865-0078-4cf5-ad73-2cd0cd9e30bb
ScanDate    = 20191029_113315
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 32
NumVolumes  = 738
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO

     0       0         16702304         16702326     0
     0       8         16702304         16702326     0
     0      16         16702304         16702326     0
     0      24         16702304         16702326     0
     0       3         16702340         16702363     0
     0      11         16702340         16702363     0
     0      19         16702340         16702363     0
     0      27         16702340         16702363     0
     0       6         16702377         16702399     0
     0      14         16702377         16702399     0
     0      22         16702377         16702399     0
     0      30         16702377         16702399     0
     0       1         16702413         16702436     0
     0       9         16702413         16702436     0
     0      17         16702413         16702436     0
     0      25         16702413         16702436     0
     0       4         16702450         16702472     0
     0      12         16702450         16702472     0
     0      20         16702450         16702472     0
     0      28         16702450         16702472     0
     0       7         16702486         16702509     0
     0      15         16702486         16702509     0
     0      23         16702486         16702509     0
     0      31         16702486         16702509     0
     0       2         16702523         16702545     0
     0      10         16702523         16702545     0
     0      18         16702523         16702545     0
     0      26         16702523         16702545     0
     0       5         16702559         16702582     0
     0      13         16702559         16702582     0
     0      21         16702559         16702582     0
     0      29         16702559         16702582     0
     1       0         16702604         16702626     0
     1       8         16702604         16702626     0
     1      16         16702604         16702626     0
     1      24         16702604         16702626     0
     1       3         16702640         16702663     0
     1      11         16702640         16702663     0
     1      19         16702640         16702663     0
     1      27         16702640         16702663     0
     1       6         16702677         16702699     0
     1      14         16702677         16702699     0
     1      22         16702677         16702699     0
     1      30         16702677         16702699     0
     1       1         16702713         16702736     0
     1       9         16702713         16702736     0
     1      17         16702713         16702736     0
     1      25         16702713         16702736     0
     1       4         16702750         16702772     0
     1      12         16702750         16702772     0
     1      20         16702750         16702772     0
     1      28         16702750         16702772     0
     1       7         16702786         16702809     0
     1      15         16702786         16702809     0
     1      23         16702786         16702809     0
     1      31         16702786         16702809     0
     1       2         16702823         16702845     0
     1      10         16702823         16702845     0
     1      18         16702823         16702845     0
     1      26         16702823         16702845     0
     1       5         16702859         16702882     0
     1      13         16702859         16702882     0
     1      21         16702859         16702882     0
     1      29         16702859         16702882     0
     2       0         16702904         16702926     0
     2       8         16702904         16702926     0
     2      16         16702904         16702926     0
     2      24         16702904         16702926     0
     2       3         16702940         16702963     0
     2      11         16702940         16702963     0
     2      19         16702940         16702963     0
     2      27         16702940         16702963     0
     2       6         16702977         16702999     0
     2      14         16702977         16702999     0
     2      22         16702977         16702999     0
     2      30         16702977         16702999     0
     2       1         16703013         16703036     0
     2       9         16703013         16703036     0
     2      17         16703013         16703036     0
     2      25         16703013         16703036     0
