UUID        = 49904865-0078-4cf5-ad73-2cd0cd9e30bb
ScanDate    = 20191029_113315
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     16699574     PULS   1692 
     16699576     PULS   1696 
     16699578     PULS   1702 
     16699580     PULS   1711 
     16699582     PULS   1723 
     16699584     PULS   1739 
     16699586     PULS   1759 
     16699588     PULS   1783 
     16699590     PULS   1811 
     16699592     PULS   1843 
     16699594     PULS   1879 
     16699596     PULS   1917 
     16699598     PULS   1959 
     16699600     PULS   2001 
     16699602     PULS   2046 
     16699604     PULS   2133 
     16699606     PULS   2222 
     16699608     PULS   2309 
     16699610     PULS   2395 
     16699612     PULS   2478 
     16699613     PULS   2557 
     16699615     PULS   2632 
     16699617     PULS   2703 
     16699619     PULS   2769 
     16699621     PULS   2830 
     16699623     PULS   2886 
     16699625     PULS   2935 
     16699627     PULS   2980 
     16699629     PULS   3018 
     16699631     PULS   3052 
     16699633     PULS   3079 
     16699635     PULS   3102 
     16699637     PULS   3120 
     16699639     PULS   3133 
     16699641     PULS   3141 
     16699643     PULS   3146 
     16699645     PULS   3147 
     16699647     PULS   3145 
     16699649     PULS   3139 
     16699651     PULS   3130 
     16699653     PULS   3118 
     16699655     PULS   3104 
     16699657     PULS   3088 
     16699659     PULS   3070 
     16699661     PULS   3050 
     16699663     PULS   3029 
     16699665     PULS   3007  PULS_TRIGGER
     16699667     PULS   2984 
     16699669     PULS   2959 
     16699671     PULS   2934 
     16699673     PULS   2908 
     16699675     PULS   2882 
     16699677     PULS   2854 
     16699679     PULS   2827 
     16699681     PULS   2798 
     16699683     PULS   2770 
     16699685     PULS   2741 
     16699687     PULS   2711 
     16699689     PULS   2681 
     16699691     PULS   2650 
     16699693     PULS   2619 
     16699695     PULS   2588 
     16699697     PULS   2556 
     16699699     PULS   2524 
     16699701     PULS   2492 
     16699703     PULS   2461 
     16699705     PULS   2430 
     16699707     PULS   2400 
     16699709     PULS   2370 
     16699711     PULS   2342 
     16699713     PULS   2314 
     16699715     PULS   2288 
     16699717     PULS   2264 
     16699719     PULS   2240 
     16699721     PULS   2219 
     16699723     PULS   2199 
     16699725     PULS   2181 
     16699727     PULS   2165 
     16699729     PULS   2150 
     16699731     PULS   2138 
     16699733     PULS   2127 
     16699735     PULS   2118 
