UUID        = 49904865-0078-4cf5-ad73-2cd0cd9e30bb
ScanDate    = 20191029_113315
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     16699574     RESP   3103 
     16699582     RESP   3193 
     16699590     RESP   3263 
     16699598     RESP   3348 
     16699606     RESP   3403 
     16699613     RESP   3473 
     16699621     RESP   3558 
     16699629     RESP   3653 
     16699637     RESP   3743 
     16699645     RESP   3803 
     16699653     RESP   3863 
     16699661     RESP   3903 
     16699669     RESP   3938 
     16699677     RESP   3928 
     16699685     RESP   3933 
     16699693     RESP   3888 
     16699701     RESP   3853 
     16699709     RESP   3793 
     16699717     RESP   3728 
     16699725     RESP   3643 
     16699733     RESP   3548 
     16699741     RESP   3443 
     16699749     RESP   3313 
     16699757     RESP   3198 
     16699765     RESP   3083 
     16699773     RESP   2963 
     16699781     RESP   2848 
     16699789     RESP   2683 
     16699797     RESP   2548 
     16699805     RESP   2418 
     16699813     RESP   2278 
     16699821     RESP   2133 
     16699829     RESP   1978 
     16699837     RESP   1863 
     16699845     RESP   1773 
     16699853     RESP   1683 
     16699861     RESP   1588 
     16699869     RESP   1473 
     16699877     RESP   1388 
     16699885     RESP   1303 
     16699893     RESP   1213 
     16699901     RESP   1083 
     16699909     RESP    943 
     16699917     RESP    813 
     16699925     RESP    653 
     16699933     RESP    578 
     16699941     RESP    503 
     16699949     RESP    418 
     16699957     RESP    363 
     16699965     RESP    293 
     16699973     RESP    273 
     16699981     RESP    213 
     16699989     RESP    158 
     16699997     RESP    138 
     16700005     RESP    103 
     16700013     RESP     93 
     16700021     RESP     53 
     16700029     RESP     43 
     16700037     RESP     23 
     16700045     RESP     13 
     16700053     RESP      8 
     16700061     RESP      0 
     16700069     RESP      0 
     16700077     RESP      0 
     16700085     RESP      0 
     16700093     RESP      0 
     16700101     RESP      0 
     16700109     RESP      0 
     16700117     RESP      0 
     16700125     RESP      0 
     16700133     RESP      3 
     16700141     RESP     78 
     16700149     RESP    173 
     16700157     RESP    313 
     16700165     RESP    473 
     16700173     RESP    638 
     16700181     RESP    813 
     16700189     RESP    953 
     16700197     RESP   1108 
     16700205     RESP   1273 
     16700213     RESP   1423 
     16700221     RESP   1598 
     16700229     RESP   1758 
     16700237     RESP   1863 
     16700245     RESP   1968 
